Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C7966;Colon Mucinous Adenocarcinoma;Colloid Adenocarcinoma of Colon ;An invasive adenocarcinoma of the colon characterized by the presence of pools of extracellular mucin.  Malignant glandular epithelial cells are present in the mucin collections.  Mucin constitutes more than 50% of the lesion.;Malignant;
C9454;Colon Poorly Differentiated Adenocarcinoma;Grade 3 Colon Adenocarcinoma ;A colon adenocarcinoma characterized by the presence of a malignant cellular infiltrate with less than 50% glandular formation.;Malignant;
C96486;Colon Serrated Adenocarcinoma;;A rare, invasive colon adenocarcinoma characterized by the presence of a malignant infiltrate with serrated glandular architecture.;Malignant;
C96464;Colon Serrated Lesions and Polyps;Colon SSA ;Polyps that arise from the colon, and are characterized by the presence of serrated glands and the absence of generalized dysplasia.;Benign;
C7967;Colon Signet Ring Cell Adenocarcinoma;Colon Signet-Ring Cell Adenocarcinoma ;An invasive adenocarcinoma of the colon characterized by the presence of malignant glandular epithelial cells which contain prominent intracytoplasmic mucin (signet ring cells).  The signet ring cells constitute more than 50% of the malignant cells.;Malignant;
C6761;Colon Small Cell Neuroendocrine Carcinoma;Colon Small Cell Carcinoma ;An aggressive high-grade carcinoma with neuroendocrine differentiation that arises from the colon and is composed of malignant small cells. The mitotic count is more than 20 per 2 mm2 and/or the Ki-67 index is more than 20%.;Malignant;
C5490;Colon Squamous Cell Carcinoma;Colon Epidermoid Carcinoma ;A very rare colon carcinoma characterized by the presence of a malignant squamous cell infiltrate.;Malignant;
C43577;Colon Traditional Serrated Adenoma;Colon Serrated Adenoma ;An adenoma that arises from the colon.  It is characterized by prominent serration of the glands.;Benign;
C7041;Colon Tubular Adenoma;;A usually polypoid neoplasm that arises from the glandular epithelium of the colonic mucosa. It is characterized by a tubular architectural pattern. The neoplastic glandular cells have dysplastic features.;Undetermined;
C5496;Colon Tubulovillous Adenoma;Colonic Tubulovillous Adenoma ;A neoplasm that arises from the glandular epithelium of the colonic mucosa. It is characterized by tubular and villous architectural patterns. The neoplastic glandular cells have dysplastic features.;Undetermined;
C7100;Colon Undifferentiated Carcinoma;Carcinoma Simplex of the Colon. ;An invasive malignant epithelial tumor that arises from the colon.  There is no morphologic, immunophenotypic, or molecular biological evidence of glandular or squamous differentiation.;Malignant;
C3495;Colon Villous Adenoma;Colonic Villous Adenoma ;A neoplasm that arises from the glandular epithelium of the colonic mucosa. It is characterized by a villous architectural pattern. The neoplastic glandular cells have dysplastic features.;Undetermined;
C9452;Colon Well Differentiated Adenocarcinoma;Grade 1 Colon Adenocarcinoma ;A colon adenocarcinoma characterized by the presence of a malignant cellular infiltrate with more than 95% glandular formation.;Malignant;
C5105;Colorectal Adenocarcinoma;Adenocarcinoma of Large Bowel ;The most common type of colorectal carcinoma.  It is characterized by the presence of malignant glandular epithelial cells invading through the muscularis mucosa into the submucosa.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.;Malignant;
C5673;Colorectal Adenoma;Adenoma of Large Bowel ;An adenoma that arises from the colon or rectum.  The group of colorectal adenomas includes tubular, villous, and tubulovillous adenomas, traditional serrated adenomas, sessile serrated adenomas/polyps, and familial adenomatous polyposis.;Undetermined;
C27458;Colorectal Adenoma with Mild Dysplasia;;An adenoma that arises from the colon or rectum.  It is characterized by the presence of mild epithelial dysplasia.;Undetermined;
C27457;Colorectal Adenoma with Moderate Dysplasia;;An adenoma that arises from the colon or rectum.  It is characterized by the presence of moderate epithelial dysplasia.;Undetermined;
C5685;Colorectal Adenoma with Severe Dysplasia;Colorectal Adenoma with Marked Dysplasia;An adenoma that arises from the colon or rectum.  It is characterized by the presence of severe epithelial dysplasia.;Undetermined;
C43589;Colorectal Adenosquamous Carcinoma;;An unusual colorectal carcinoma characterized by the presence of glandular and squamous carcinomatous components.  The two carcinomatous components may be admixed within the tumor, or the two may appear separately in different areas.;Malignant;
C2955;Colorectal Carcinoma;Cancer of Large Bowel ;A malignant epithelial neoplasm that arises from the colon or rectum and invades through the muscularis mucosa into the submucosa.  The vast majority are adenocarcinomas.;Malignant;
C43590;Colorectal Medullary Carcinoma;;A rare, invasive colorectal adenocarcinoma characterized by the presence of sheets of malignant epithelial cells with vesicular nuclei, prominent nucleoli, and abundant eosinophilic cytoplasm.  It usually has a favorable prognosis.;Malignant;
C9447;Colorectal Moderately Differentiated Adenocarcinoma;Grade 2 Colorectal Adenocarcinoma ;A colorectal adenocarcinoma characterized by the presence of a malignant cellular infiltrate with 50-95% glandular formation.;Malignant;
C43585;Colorectal Mucinous Adenocarcinoma;;An invasive colorectal adenocarcinoma characterized by the presence of extracellular mucin pools that contain malignant glandular epithelial structures.  The extracellular mucin pools occupy more than 50% of the malignant lesion.;Malignant;
C9448;Colorectal Poorly Differentiated Adenocarcinoma;Grade 3 Colorectal Adenocarcinoma ;A colorectal adenocarcinoma characterized by the presence of a malignant cellular infiltrate with less than 50% glandular formation.;Malignant;
C96485;Colorectal Serrated Adenocarcinoma;;A rare, invasive colorectal adenocarcinoma characterized by the presence of a malignant infiltrate with serrated glandular architecture.;Malignant;
C83176;Colorectal Serrated Lesions and Polyps;Colorectal Mixed Hyperplastic Adenomatous Polyp ;Polyps that arises from the colon or rectum. They are characterized by the presence of serrated glands and the absence of generalized dysplasia.;Benign;
C43586;Colorectal Signet Ring Cell Adenocarcinoma;Colorectal Signet Ring Cell Carcinoma ;An invasive colorectal adenocarcinoma characterized by the presence of malignant glandular epithelial cells with prominent intracytoplasmic mucin resulting in the displacement of the nuclei.  The malignant glandular cells with intracytoplasmic mucin constitute more than 50% of the malignant cellular infiltrate.;Malignant;
C43587;Colorectal Small Cell Neuroendocrine Carcinoma;Colorectal Small Cell Carcinoma ;An aggressive high-grade carcinoma with neuroendocrine differentiation that arises from the colon or rectum and is composed of malignant small cells. The mitotic count is more than 20 per 2 mm2 and/or the Ki-67 index is more than 20%.;Malignant;
C43588;Colorectal Squamous Cell Carcinoma;;A very rare colorectal carcinoma characterized by the presence of a malignant squamous cell infiltrate.;Malignant;
C5674;Colorectal Traditional Serrated Adenoma;Colorectal Serrated Adenoma ;An adenoma that arises from the colon or rectum.  It is characterized by prominent serration of the glands.;Benign;
C27456;Colorectal Tubular Adenoma;;A usually polypoid neoplasm that arises from the glandular epithelium of the colonic and rectal mucosa. It is characterized by a tubular architectural pattern. The neoplastic glandular cells have dysplastic features.;Undetermined;
C5675;Colorectal Tubulovillous Adenoma;Large Bowel Tubulovillous Adenoma ;A neoplasm that arises from the glandular epithelium of the colonic and rectal mucosa. It is characterized by tubular and villous architectural patterns. The neoplastic glandular cells have dysplastic features.;Undetermined;
C43591;Colorectal Undifferentiated Carcinoma;;An invasive malignant epithelial tumor that arises from the colon or rectum.  There is no morphologic, immunophenotypic, or molecular biological evidence of glandular or squamous differentiation.;Malignant;
C5676;Colorectal Villous Adenoma;Large Bowel Villous Adenoma ;A neoplasm that arises from the glandular epithelium of the colonic and rectal mucosa. It is characterized by a villous architectural pattern. The neoplastic glandular cells have dysplastic features.;Undetermined;
C9446;Colorectal Well Differentiated Adenocarcinoma;Grade 1 Colorectal Adenocarcinoma ;A colorectal adenocarcinoma characterized by the presence of a malignant cellular infiltrate with more than 95% glandular formation.;Malignant;
C3828;Combined Hepatocellular Carcinoma and Cholangiocarcinoma;Carcinoma of Liver and Intrahepatic Biliary Tract ;A rare tumor containing unequivocal elements of both hepatocellular and cholangiocarcinoma that are intimately admixed.  This tumor should be distinguished from separate hepatocellular carcinoma and cholangiocarcinoma arising in the same liver.  The prognosis of this tumor is poor.;Malignant;
C45475;Composite Hemangioendothelioma;;An intermediate, locally aggressive and rarely metastasizing blood vessel neoplasm that predominantly involves the skin and superficial soft tissues, with rare cases reported in the kidney, lymph nodes, and spleen. It is characterized by the presence of spindle, plump, and epithelioid endothelial cells and cellular atypia.;Undetermined;
C38661;Composite Lymphoma;;Coexistence of Hodgkin and non-Hodgkin lymphoma in the same anatomic site.;Malignant;
C3901;Compound Nevus;Compound Nevus of Skin ;A nevus composed of neoplastic melanocytes that infiltrate both the epidermis and the dermis.;Benign;
C3841;Congenital Hemangioma;Congenital Angioma ;A hemangioma present at birth.;Benign;
C6569;Congenital Mesoblastic Nephroma;Mesoblastic Nephroma;A low grade childhood congenital malignant neoplasm arising from the kidney. It is characterized by the presence of fibroblastic cells. The majority of cases occur in the first year of life. Complete excision is usually associated with an excellent prognosis.;Malignant;
C4549;Conjunctival Squamous Cell Carcinoma;Conjunctiva Epidermoid Carcinoma ;A carcinoma that arises from the conjunctiva and shows squamous differentiation. It is the most common primary malignant tumor that arises from the conjunctiva. It usually affects older white males. Excessive exposure to sunlight is a risk factor. Patients may present with a mass, red eye, or pain.;Malignant;
C9428;Conventional Leiomyosarcoma;Classic Leiomyosarcoma;An uncommon, aggressive malignant smooth muscle neoplasm.  It is characterized by the presence of atypical large spindle or round cells, nuclear palisading, tumor cell necrosis, mitotic figures and may be associated with vascular invasion.;Malignant;
C35870;Conventional Osteosarcoma;Central Osteosarcoma ;A high grade malignant bone-forming mesenchymal neoplasm producing osteoid. The tumor arises from the medullary portion of the bone. It affects the long bones and most commonly, the distal femur, proximal tibia, and proximal humerus. Pain with or without a palpable mass is the most common clinical presentation. It usually has an aggressive growth and may metastasize through the hematogenous route. The lung is the most frequent site of metastasis.;Malignant;
C122688;Core Binding Factor Acute Myeloid Leukemia;;"Acute myeloid leukemia characterized by the presence of t(8;21)(q22;q22) or inv(16)(p13q22)/t(16;16)(p13;q22). These cytogenetic abnormalities result in disruption of the transcription factor CBF, which is a regulator of normal hematopoiesis.";Malignant;
C4552;Corneal Squamous Cell Carcinoma;Cornea Epidermoid Carcinoma ;A rare squamous cell carcinoma that arises from the cornea.;Malignant;
C7462;Corticotroph Pituitary Neuroendocrine Tumor;ACTH Producing Pituitary Gland Adenoma ;A pituitary neuroendocrine tumor that produces adrenocorticotropic hormone.;Undetermined;
C121963;Cribriform Neuroepithelial Tumor;;A very rare, nonrhabdoid, intraventricular tumor with relatively favorable prognosis.  It is characterized by the presence of neuroepithelial cells forming cribriform patterns, trabeculae, epithelial membrane antigen immunopositivity on epithelial surfaces, and loss of nuclear INI 1 expression.;Undetermined;
