Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C4275;Malignant Phyllodes Tumor;Malignant Cystosarcoma Phyllodes ;A phyllodes tumor with sarcomatous stroma. The sarcomatous component is usually of the fibrosarcomatous type. Liposarcomatous, chondrosarcomatous, osteosarcomatous, or rhabdomyosarcomatous differentiation may also occur in the stroma. It may recur and metastasize following surgical resection. The lung and skeleton are the anatomic sites most frequently involved by metastases.;Malignant;
C5531;Malignant Prostate Phyllodes Tumor;Malignant Phyllodes Neoplasm of Prostate ;An unusual malignant tumor that arises from the prostate gland.  It is characterized by the presence of glandular elements and a cellular stroma that exhibits mitotic activity and nuclear atypia.;Malignant;
C6894;Malignant Solitary Fibrous Tumor;;A malignant neoplasm of probable fibroblastic derivation. It is characterized by the presence of atypical round to spindle-shaped cells, increased cellularity, necrotic change and high mitotic activity.;Malignant;
C65190;Malignant Somatostatinoma;Delta Cell Carcinoma;A neuroendocrine tumor arising from delta cells which produce somatostatin. It displays vascular invasion and metastasizes to other anatomic sites.;Malignant;
C6535;Malignant Tenosynovial Giant Cell Tumor;Malignant Giant Cell Neoplasm of Tendon Sheath ;An uncommon malignant tumor arising from the tendon sheath. Morphologically, it is characterized by the presence of a cellular infiltrate reminiscent of a giant cell tumor with prominent malignant characteristics. Recurrent giant cell tumors with a sarcomatous dedifferentiation are included in this category as well.;Malignant;
C7251;Malignant Testicular Neoplasm;Malignant Neoplasm of Testis ;A primary or metastatic malignant neoplasm that affects the testis. Representative examples include malignant germ cell tumors, sarcomas, leukemias, and lymphomas.;Malignant;
C7612;Malignant Thymoma;;A thymoma that has an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.  Although any morphologic subtype of thymoma may eventually have a malignant clinical course, this term is most often associated with thymoma types B3 and C.;Malignant;
C4335;Malignant Triton Tumor;MPNST with Rhabdomyosarcoma ;A malignant peripheral nerve sheath tumor which shows rhabdomyosarcomatous differentiation. More than half of the patients have neurofibromatosis type 1. The prognosis is usually poor.;Malignant;
C7999;Malignant Type A Thymoma;;A type A thymoma which is characterized by an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.;Malignant;
C6886;Malignant Type AB Thymoma;;A type AB thymoma which is characterized by an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.;Malignant;
C7996;Malignant Type B1 Thymoma;;A type B1 thymoma which is characterized by an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.;Malignant;
C6889;Malignant Type B2 Thymoma;;A type B2 thymoma which is characterized by an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.;Malignant;
C65189;Malignant Vipoma;;An aggressive neuroendocrine tumor located in the pancreas or small intestine. It is composed of cells containing vasoactive intestinal peptide.  It is associated with watery diarrhea, hypokalemia, and hypochlorhydria or achlorhydria. It displays vascular invasion and metastasizes to other anatomic sites.;Malignant;
C45928;Mammosomatotroph Pituitary Neuroendocrine Tumor;Mammosomatotroph Adenoma ;A pituitary neuroendocrine tumor composed of acidophilic cells that produce both growth hormone and prolactin. Immunohistochemical studies reveal the presence of these two hormones localized in the same cell.;Undetermined;
C4337;Mantle Cell Lymphoma;Classical Mantle Cell Lymphoma;"A non-Hodgkin lymphoma composed of small to medium sized B-lymphocytes (centrocytes). Most patients present with advanced stage disease with lymphadenopathy, hepatosplenomegaly, and bone marrow involvement. The gastrointestinal tract is the most commonly affected extranodal site by this type of non-Hodgkin lymphoma. The vast majority of cases express the t(11;14)(q13;q32) resulting in the rearrangement of the BCL-1 gene and the overexpression of cyclin D1 mRNA.";Malignant;
C4341;Marginal Zone Lymphoma;Marginal Zone B-Cell Lymphoma;"A usually indolent mature B-cell lymphoma, arising from the marginal zone of lymphoid tissues.  It is characterized by the presence of small to medium sized atypical lymphocytes.  It comprises three entities, according to the anatomic sites involved: extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue, which affects extranodal sites (most often stomach, lung, skin, and ocular adnexa); nodal marginal zone B-cell lymphoma, which affects lymph nodes without evidence of extranodal disease; and splenic marginal zone B-cell lymphoma, which affects the spleen and splenic hilar lymph nodes, bone marrow, and often the peripheral blood.";Malignant;
C3169;Mast Cell Leukemia;;A variant of systemic mastocytosis with involvement of the bone marrow (20% or more mast cells) and the peripheral blood (mast cells account for 10% or more of peripheral blood white cells). (WHO, 2001);Malignant;
C9348;Mast Cell Sarcoma;;A rare malignant neoplasm characterized by localized but destructive growth of a tumor consisting of highly atypical, immature mast cells. (WHO, 2001);Malignant;
C3468;Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma;Mature T-Cell Non-Hodgkin's Lymphoma ;This type of lymphoma is not frequently seen in the western hemisphere. Clinically, with the exception of anaplastic large cell lymphoma, mature T- and NK-cell lymphomas are among the most aggressive of all hematopoietic neoplasms. Representative disease entities include mycosis fungoides, angioimmunoblastic T-cell lymphoma, hepatosplenic T-cell lymphoma, and anaplastic large cell lymphoma.;Malignant;
C9015;Mature Teratoma;Grade 0 Teratoma;"A teratoma which may be cystic; it is composed entirely of well differentiated, adult-type mature tissues, without evidence of fetal-type immature tissues (grade 0 teratoma).";Benign;
C3222;Medulloblastoma;;A malignant, invasive embryonal neoplasm arising from the cerebellum or posterior fossa. It occurs predominantly in children and has the tendency to metastasize via the cerebrospinal fluid pathways. Signs and symptoms include truncal ataxia, disturbed gait, lethargy, headache, and vomiting. There are four histologic variants: classic medulloblastoma, large cell/anaplastic medulloblastoma, desmoplastic/nodular medulloblastoma, and medulloblastoma with extensive nodularity.;Malignant;
C5407;Medulloblastoma with Extensive Nodularity;Cerebellar Neuroblastoma ;A medulloblastoma characterized by nodularity and neuronal differentiation.;Malignant;
C129444;Medulloblastoma, Non-WNT/Non-SHH;Non-WNT/Non-SHH Medulloblastoma;"Medulloblastoma not associated with activation of the WNT pathway or sonic hedgehog (SHH) pathway. TP53 mutations are absent. This molecular subtype includes medulloblastomas numerically designated as ""group 3"" and ""group 4"".";Malignant;
C129441;Medulloblastoma, SHH-Activated;;A molecular subtype of medulloblastoma associated with activation of the sonic hedgehog (SHH) pathway. TP53 mutations may be present or absent. Patients in this group are young children and adults. Overall survival is variable and depends on the presence or absence of metastatic disease, histology, and the age at diagnosis.;Malignant;
C129442;Medulloblastoma, SHH-Activated, TP53-Mutant;;Medulloblastoma associated with activation of the sonic hedgehog (SHH) pathway and the presence of TP53 mutations.;Malignant;
C129443;Medulloblastoma, SHH-Activated, TP53-Wildtype;;Medulloblastoma associated with activation of the sonic hedgehog (SHH) pathway and the absence of TP53 mutations.;Malignant;
C129440;Medulloblastoma, WNT-Activated;;A molecular subtype of medulloblastoma associated with activation of the WNT pathway. TP53 mutations may be present or absent. WNT pathway activation in medulloblastomas is associated with good outcome.;Malignant;
C3224;Melanoma;Malignant Melanoma;A malignant, usually aggressive tumor composed of atypical, neoplastic melanocytes. Most often, melanomas arise in the skin (cutaneous melanomas) and include the following histologic subtypes: superficial spreading melanoma, nodular melanoma, acral lentiginous melanoma, and lentigo maligna melanoma. Cutaneous melanomas may arise from acquired or congenital melanocytic or dysplastic nevi. Melanomas may also arise in other anatomic sites including the gastrointestinal system, eye, urinary tract, and reproductive system. Melanomas frequently metastasize to lymph nodes, liver, lungs, and brain.;Malignant;
C92652;Meningeal Central Nervous System Solitary Fibrous Tumor, Grade 3;Meningeal CNS Solitary Fibrous Tumor, Grade 3 ;A solitary fibrous tumor that arises from the meninges. It most often corresponds to the tumor previously diagnosed as anaplastic hemangiopericytoma.;Malignant;
C4660;Meningeal Solitary Fibrous Tumor;Meningeal Solitary Fibrous Tumor/Hemangiopericytoma;A solitary fibrous tumor that arises from the meninges.;Undetermined;
C3230;Meningioma;;A generally slow growing tumor attached to the dura mater. It is composed of neoplastic meningothelial (arachnoidal) cells. It typically occurs in adults, often women and it has a wide range of histopathological appearances. Of the various subtypes, meningothelial, fibrous and transitional meningiomas are the most common. Most meningiomas are WHO grade 1 tumors, and some are WHO grade 2 or 3 tumors. Most subtypes share a common clinical behavior, although some subtypes are more likely to recur and follow a more aggressive clinical course. (Adapted from WHO);Undetermined;
C9231;Merkel Cell Carcinoma;;A rare aggressive neuroendocrine carcinoma that usually arises from the skin. Rarely, it arises from extracutaneous sites, including the oral cavity, salivary glands, breast, vulva, and vaginal wall. The tumor is composed of small round cells with scanty cytoplasm. Merkel cell polyomavirus is implicated in the majority of cases.;Malignant;
C3737;Mesenchymal Chondrosarcoma;;A morphologic variant of chondrosarcoma arising from bone and soft tissue. It is characterized by the presence of malignant small round cells, biphasic growth pattern, and well differentiated hyaline cartilage. Clinical presentation includes pain and swelling. The clinical course is aggressive, with local recurrences and distant metastases.;Malignant;
C111695;Mesenchymal Glioblastoma;;A molecular subtype of glioblastoma characterized by the presence of NF1 mutations.;Malignant;
C3786;Mesothelial Neoplasm;Mesothelial Tumor ;A neoplasm characterized by the proliferation of neoplastic mesothelial cells. It usually arises from the pleura or peritoneum. This category includes malignant mesothelioma, adenomatoid tumor (benign mesothelioma), well differentiated papillary mesothelial tumor, and multicystic mesothelioma.;Undetermined;
C38158;Metachronous Kidney Wilms Tumor;Metachronous Kidney Nephroblastoma ;Wilms tumor arising in the remaining kidney following treatment of the original Wilms tumor.;Malignant;
C38157;Metachronous Osteosarcoma;Metachronous Osteosarcoma of the Bone;A bone osteosarcoma that has metastasized to skeletal or extraskeletal sites.;Malignant;
C6907;Metaplastic Meningioma;;A WHO grade I meningioma characterized by the presence of a prominent mesenchymal component. The mesenchymal component may be osseous, cartilaginous, myxoid, lipomatous, or a mixture of mesenchymal elements.;Undetermined;
C4220;Metastatic Adrenal Gland Pheochromocytoma;Malignant Adrenal Gland Chromaffin Neoplasm ;A pheochromocytoma that metastasizes to other anatomic sites.  Common sites of metastasis include lymph nodes, bones, liver, and lung.  Morphologic features associated with malignant pheochromocytomas include: atypical mitotic figures, capsular and vascular invasion, tumor cell necrosis, and high mitotic activity.;Malignant;
C5964;Metastatic Corticotroph Pituitary Neuroendocrine Tumor;ACTH Producing Pituitary Gland Carcinoma ;ACTH-producing pituitary neuroendocrine tumor that has spread from its original site of growth to another anatomic site.;Malignant;
C5962;Metastatic Lactotroph Pituitary Neuroendocrine Tumor;Malignant Pituitary Gland Prolactinoma ;Prolactin-producing pituitary neuroendocrine tumor that has spread from its original site of growth to another anatomic site.;Malignant;
C4536;Metastatic Pituitary Neuroendocrine Tumor;Cancer of Pituitary ;Pituitary neuroendocrine tumor that has spread from its original site of growth to another anatomic site.;Malignant;
C5963;Metastatic Somatotroph Pituitary Neuroendocrine Tumor;Growth Hormone Producing Pituitary Gland Carcinoma ;Growth hormone-producing pituitary neuroendocrine tumor that has spread from its original site of growth to another anatomic site.;Malignant;
C5965;Metastatic Thyrotroph Pituitary Neuroendocrine Tumor;Malignant Pituitary Gland Thyrotropinoma ;TSH-producing pituitary neuroendocrine tumor that has spread from its original site of growth to another anatomic site.;Malignant;
C4721;Microcystic Meningioma;;A WHO grade I meningioma characterized by the presence of intercellular microcystic spaces that contain mucinous fluid.;Undetermined;
C27757;Microgranular Acute Promyelocytic Leukemia;Hypogranular Acute Promyelocytic Leukemia;Acute promyelocytic leukemia in which the promyelocytes in the peripheral blood have paucity or absence of cytoplasmic granules and characteristic bilobed nuclei.;Malignant;
C6089;Middle Ear Carcinoma;Carcinoma of Middle Ear ;A carcinoma that arises from the middle ear.  This category includes adenocarcinoma and squamous cell carcinoma.;Malignant;
C2923;Minimally Invasive Lung Adenocarcinoma;;A solitary adenocarcinoma arising from the lung and measuring 3 cm or less in size. It is characterized by a predominantly lepidic pattern and 5 mm or less invasion in greatest dimension. It is usually a non-mucinous adenocarcinoma, but rarely may be mucinous.;Malignant;
C5948;Minor Salivary Gland Adenocarcinoma;Adenocarcinoma of Minor Salivary Gland ;An adenocarcinoma that arises from the minor salivary glands.;Malignant;
C5936;Minor Salivary Gland Adenoid Cystic Carcinoma;Adenoid Cystic Carcinoma of Minor Salivary Gland ;An aggressive carcinoma that arises from the minor salivary glands.  It is characterized by the presence of malignant epithelial and myoepithelial cells forming cribriform, tubular, and solid patterns.  It usually presents as a slow growing mass.;Malignant;
C5957;Minor Salivary Gland Carcinoma;Carcinoma of Minor Salivary Gland ;A carcinoma that arises from the minor salivary glands.  Representative examples include adenoid cystic carcinoma, acinic cell carcinoma, polymorphous low grade adenocarcinoma, and mucinous adenocarcinoma.;Malignant;
C5976;Minor Salivary Gland Carcinoma ex Pleomorphic Adenoma;Carcinoma ex Pleomorphic Adenoma of Minor Salivary Gland ;A carcinoma that arises from a pleomorphic adenoma in the minor salivary glands.  Patients usually present with a history of a long-standing tumor mass which grew rapidly in the past few months.  Patients with non-invasive or minimally invasive carcinoma have an excellent prognosis.  In cases where there is invasion of the surrounding tissues, the clinical course is aggressive.;Malignant;
C5953;Minor Salivary Gland Mucoepidermoid Carcinoma;Mucoepidermoid Carcinoma of Minor Salivary Gland ;A carcinoma that arises from the minor salivary glands.  It usually presents as a firm and painless mass.  It is characterized by the presence of epidermoid cells, mucus producing cells, and cells of intermediate type.  The majority of cases have a favorable outcome.;Malignant;
C5956;Minor Salivary Gland Small Cell Neuroendocrine Carcinoma;Minor Salivary Gland Neuroendocrine Carcinoma ;A rare neuroendocrine carcinoma that arises from the minor salivary glands and is composed of malignant small cells. The mitotic count is more than 10 per 2 mm2 and/or the Ki-67 index is more than 20%.;Malignant;
C5959;Minor Salivary Gland Squamous Cell Carcinoma;Epidermoid Carcinoma of Minor Salivary Gland ;A squamous cell carcinoma that affects the minor salivary glands.;Malignant;
C5954;Minor Salivary Gland Undifferentiated Carcinoma;Anaplastic Carcinoma of Minor Salivary Gland ;A carcinoma that affects the minor salivary glands and is characterized by the presence of undifferentiated, anaplastic malignant epithelial cells.;Malignant;
C8271;Mixed Astrocytoma-Ependymoma;;A tumor of mixed cell type with astrocytic components as well as ependymoma components.;Undetermined;
C8272;Mixed Astrocytoma-Ependymoma-Oligodendroglioma;;A mixed glioma characterized by the presence of astrocytic, ependymal, and oligodendroglial neoplastic components.;Undetermined;
C9149;Mixed Cell Type Kidney Wilms Tumor;Mixed Cell Type Kidney Adenosarcoma ;Wilms tumor of the kidney characterized by the presence of blastema, epithelial, and mesenchymal components (triphasic pattern) or a combination of two of them (biphasic pattern).;Malignant;
C3517;Mixed Cellularity Classic Hodgkin Lymphoma;Hodgkin's Lymphoma Mixed Cellularity ;A subtype of classic Hodgkin lymphoma with scattered Reed-Sternberg and Hodgkin cells in a diffuse or vaguely nodular mixed inflammatory background without nodular sclerosing fibrosis. (WHO, 2008);Malignant;
C97058;Mixed Congenital Mesoblastic Nephroma;Mixed Mesoblastic Nephroma;A congenital mesoblastic nephroma characterized by the presence of classic and cellular areas.;Malignant;
C66756;Mixed Epithelioid and Spindle Cell Melanoma;;A melanoma characterized by the presence of malignant large epithelioid melanocytes and malignant spindle-shaped melanocytes.;Malignant;
C4290;Mixed Germ Cell Tumor;Combined Germ Cell Neoplasm ;A malignant germ cell tumor characterized by the presence of at least two different germ cell tumor components. The different germ cell tumor components include choriocarcinoma, embryonal carcinoma, yolk sac tumor, teratoma, and seminoma. It occurs in the ovary, testis, and extragonadal sites including central nervous system and mediastinum.;Malignant;
C5241;Mixed Germ Cell-Sex Cord-Stromal Tumor;Mixed Germ Cell-Sex Cord Neoplasm ;A biphasic neoplasm that arises from the ovary or the testis. It is characterized by the presence of neoplastic germ cells and neoplastic sex cord-stromal cells. It includes the gonadoblastoma and mixed germ cell-sex cord stromal tumor, unclassifiable.;Undetermined;
C3903;Mixed Glioma;Mixed Glial Neoplasm ;A tumor composed of two or more glial cell types (astrocytes, ependymal cells, and oligodendrocytes).;Undetermined;
C4253;Mixed Liposarcoma;;A malignant neoplasm characterized by the presence of a combination of liposarcomatous morphologic subtypes: myxoid/round cell and well differentiated/dedifferentiated liposarcoma or myxoid/round cell and pleomorphic liposarcoma.;Malignant;
C82179;Mixed Phenotype Acute Leukemia;;An acute leukemia of ambiguous lineage.  It is characterized by the presence of either separate populations of blasts of more than one lineage, or one population of blasts co-expressing markers of more than one lineage.;Malignant;
C82192;Mixed Phenotype Acute Leukemia with BCR-ABL1 Fusion;"MPAL with t(9;22)(q34.1;q11.2); BCR-ABL1 ";"A rare mixed phenotype acute leukemia in which the blasts carry the chromosomal translocation t(9;22)(q34.1;q11.2) that results in BCR-ABL1 gene fusion. The prognosis is usually unfavorable.";Malignant;
C82203;Mixed Phenotype Acute Leukemia with KMT2A Rearrangement;"MPAL with t(v;11q23.3); KMT2A Rearranged ";A rare mixed phenotype acute leukemia in which the blasts carry a translocation between the KMT2A gene at 11q23.3 and another gene partner. The prognosis is usually unfavorable.;Malignant;
C82212;Mixed Phenotype Acute Leukemia, B/Myeloid;MPAL, B/Myeloid, NOS ;"A rare mixed phenotype acute leukemia in which the blasts express B-lymphoid and myeloid lineage markers but are negative for KMT2A rearrangement and t(9;22)(q34;q11.2) translocation. The prognosis is usually unfavorable.";Malignant;
C82213;Mixed Phenotype Acute Leukemia, T/Myeloid;MPAL, T/Myeloid, NOS ;"A rare mixed phenotype acute leukemia in which the blasts express T-lymphoid and myeloid lineage markers but are negative for KMT2A rearrangement and t(9;22)(q34;q11.2) translocation. The prognosis is usually unfavorable.";Malignant;
C45927;Mixed Somatotroph and Lactotroph Pituitary Neuroendocrine Tumor;Mixed GH-PRL Cell Adenoma ;A pituitary neuroendocrine tumor composed of an admixture of acidophilic and chromophobic cells that produce growth hormone and prolactin, respectively.  Unlike mammosomatotroph pituitary neuroendocrine tumors, these two hormones are not localized in the same cell by immunohistochemistry.;Undetermined;
C35816;Monoblastic Sarcoma;;A less common form of myeloid sarcoma composed of monoblasts.  Monoblastic sarcoma may precede or occur simultaneously with acute monoblastic leukemia. (WHO 2001);Malignant;
C96058;Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma;Monomorphic CD56+ Intestinal T-Cell Lymphoma ;A mature T-cell and NK-cell non-Hodgkin lymphoma of intraepithelial T-lymphocytes. It usually arises from the small intestine. A minority of cases arise from the large intestine or the stomach. It is characterized by the presence of a monomorphic cellular infiltrate of small to medium-sized T-lymphocytes that are cytotoxic and express CD56. It is not associated with celiac disease.;Malignant;
C7233;Monomorphic Post-Transplant Lymphoproliferative Disorder;Monomorphic PTLD;A clonal lymphoproliferative disorder arising as a result of post-transplant immunosuppression therapy. It is characterized by destructive infiltration of lymph nodes and extranodal sites by a monotonous population of transformed lymphocytes or plasma cells.  It includes two variants: monomorphic B-cell and monomorphic T/NK cell post-transplant lymphoproliferative disorders.;Malignant;
C3892;Mu Heavy Chain Disease;;A clonal disorder characterized by the secretion of a mu heavy chain that lacks a variable region. Most patients present with slowly progressive chronic lymphocytic leukemia (CLL). In contrast to most cases of CLL, Mu heavy chain disease is associated with hepatosplenomegaly and absence of lymphadenopathy.;Malignant;
C26712;Mucinous Adenocarcinoma;Colloid Adenocarcinoma ;An invasive adenocarcinoma composed of malignant glandular cells that contain intracytoplasmic mucin. Often, the infiltrating glandular structures are associated with mucoid stromal formation. It may arise from the large and small intestine, appendix, stomach, lung, ovary, breast, corpus uteri, cervix, vagina, and salivary gland.;Malignant;
C39807;Mucinous Tubular and Spindle Cell Carcinoma of the Kidney;;A low grade carcinoma of the kidney characterized by the presence of tubules which are separated by mucinous stroma. Often the tubular structures have a spindle cell appearance.  Patients are usually asymptomatic and occasionally they may present with hematuria or flank pain.;Malignant;
C27379;Mucin-Producing Adenocarcinoma;;An invasive adenocarcinoma composed of malignant glandular cells which produce mucin.;Malignant;
C3765;Multicystic Mesothelioma;Cystic Mesothelioma ;A mesothelial neoplasm that arises from the peritoneum and rarely the pleura. It is characterized by the presence of multiple cysts lined by flattened or cuboidal mesothelial cells. There is no evidence of significant cytologic atypia or increased mitotic activity. It may reoccur. Rare cases of transformation to malignant mesothelioma have been reported.;Undetermined;
C3242;Multiple Myeloma;Multiple Myeloma/Plasma Cell Myeloma ;A bone marrow-based plasma cell neoplasm characterized by a serum monoclonal protein and skeletal destruction with osteolytic lesions, pathological fractures, bone pain, hypercalcemia, and anemia.  Clinical variants include non-secretory myeloma, smoldering myeloma, indolent myeloma, and plasma cell leukemia. (WHO, 2001);Malignant;
C7242;Multiple Myeloma Post-Transplant Lymphoproliferative Disorder;Multiple Myeloma PTLD ;A lymphoproliferative disorder that develops following an organ transplantation and exhibits multiple myeloma features.;Malignant;
C3246;Mycosis Fungoides;;A peripheral (mature) T-cell lymphoma presenting in the skin with patches/plaques. It is characterized by epidermal and dermal infiltration of small to medium-sized T-cells with cerebriform nuclei.  Patients with limited disease generally have an excellent prognosis.  In the more advanced stages, the prognosis is poor. (WHO, 2001);Malignant;
C9265;Mycosis Fungoides and Sezary Syndrome;Mycosis Fungoides and Sézary Syndrome;Mature T and NK neoplasms predominantly affecting the skin and the peripheral blood.  Peripheral blood involvement by abnormal T-cells (cerebriform cells) is a late manifestation of mycosis fungoides, whereas it is the presenting finding in Sezary syndrome.;Malignant;
C3247;Myelodysplastic Syndrome;Dysmyelopoietic Syndrome ;A clonal hematopoietic disorder characterized by dysplasia and ineffective hematopoiesis in one or more of the hematopoietic cell lines. The dysplasia may be accompanied by an increase in myeloblasts, but the number is less than 20%, which, according to the WHO guidelines, is the requisite threshold for the diagnosis of acute myeloid leukemia. It may occur de novo or as a result of exposure to alkylating agents and/or radiotherapy. (WHO, 2001);Malignant;
C27722;Myelodysplastic Syndrome Post Cytotoxic Therapy;MDS Post Cytotoxic Therapy ;A myelodysplastic syndrome resulting from chemotherapy or radiation therapy for cancer.;Malignant;
C6867;Myelodysplastic Syndrome with del(5q);5q- Syndrome ;A myelodysplastic syndrome characterized by a deletion between bands q31 and 33 on chromosome 5.  The number of blasts in the bone marrow and blood is <5%.  The bone marrow is usually hypercellular or normocellular with increased number of often hypolobated megakaryocytes.  The peripheral blood shows macrocytic anemia.  This syndrome occurs predominantly but not exclusively in middle age to older women.  The prognosis is good and transformation to acute leukemia is rare.  (WHO, 2001);Malignant;
C7506;Myelodysplastic Syndrome with Excess Blasts;Myelodysplastic Neoplasm with Increased Blasts ;Myelodysplastic syndrome characterized by the presence of 5-9% blasts in bone marrow and 2-9% blasts in peripheral blood.;Malignant;
C82595;Myelodysplastic Syndrome with Excess Blasts and Fibrosis;Myelodysplastic Neoplasm with Increased Blasts and Fibrosis ;Myelodysplastic syndrome with excess blasts associated with significant reticulin fibrosis of the bone marrow.;Malignant;
C8574;Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia;MDS, NOS with Multilineage Dysplasia ;A myelodysplastic syndrome characterized by bi-cytopenia or pancytopenia and dysplastic changes in 10% or more of the cells in two or more of the myeloid cell lines. (WHO, 2001);Malignant;
C82591;Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia;MDS with Low Blasts and Single Lineage Dysplasia ;A myelodysplastic syndrome characterized by dysplastic changes involving only one myeloid cell lineage in the bone marrow.;Malignant;
C7168;Myelodysplastic Syndrome/Acute Myeloid Leukemia;MDS with Increased Blasts-2 ;A myelodysplastic syndrome characterized by the presence of dysplasia in one or more hematopoietic cell lineages and 10-19% blasts in bone marrow or peripheral blood.;Malignant;
C27262;Myelodysplastic/Myeloproliferative Neoplasm;Myelodysplastic/Myeloproliferative Disease ;A category of clonal hematopoietic disorders that have both myelodysplastic and myeloproliferative features at the time of initial presentation.;Malignant;
C82397;Myelodysplastic/Myeloproliferative Neoplasm Post Cytotoxic Therapy;Therapy-Related Myelodysplastic/Myeloproliferative Disease ;A myelodysplastic/myeloproliferative neoplasm arising as a result of the mutagenic effect of chemotherapy agents and/or radiation that are used for the treatment of neoplastic or non-neoplastic disorders.;Malignant;
C82616;Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified;Essential Thrombocythemia with Ring Sideroblasts ;A myelodysplastic/myeloproliferative neoplasm characterized by marked thrombocytosis, anemia, erythroid lineage dysplasia, presence or absence of multilineage dysplasia, 15% or more ring sideroblasts, blasts less than 5% in bone marrow and less than 1% in peripheral blood, absence of BCR/ABL fusion, absence of SF3B1 mutation, absence of genetic abnormalities associated with myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions, and no history of other myelodysplastic/myeloproliferative neoplasms or myeloproliferative neoplasms and myelodysplastic syndromes.;Malignant;
C27780;Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified;Myelodysplastic/Myeloproliferative Neoplasm, NOS;A myelodysplastic/myeloproliferative neoplasm that does not meet the criteria of other myelodysplastic/myeloproliferative neoplasms, myelodysplastic syndromes, and myeloproliferative neoplasms. It is associated with cytopenia, blasts less than 20% in bone marrow and peripheral blood, thrombocytosis, and absence of genetic abnormalities associated with myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions.;Malignant;
C43223;Myeloid Leukemia Associated with Down Syndrome;;Acute myeloid leukemia or myelodysplastic syndrome occurring in children with Down syndrome.  The acute myeloid leukemia is usually an acute megakaryoblastic leukemia, and is associated with GATA1 gene mutation.;Malignant;
C3520;Myeloid Sarcoma;Chloroma ;A tumor mass composed of myeloblasts or immature myeloid cells.  It occurs in extramedullary sites or the bone.  (WHO, 2001);Malignant;
C84270;Myeloid/Lymphoid Neoplasms with Eosinophilia and Tyrosine Kinase Gene Fusions;M/LN-eo with Tyrosine Kinase Gene Fusions ;A group of rare myeloid and lymphoid neoplasms characterized by rearrangement of the PDGFRA, PDGFRB, FGFR1, or JAK2 genes, resulting in the formation of tyrosine kinase fusion transcripts. Eosinophilia is a characteristic finding but it is not always present.;Malignant;
C84277;Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement;8p11 Myeloproliferative Syndrome ;Hematologic neoplasms characterized by the rearrangement of the FGFR1 gene, resulting in translocations with an 8p11 breakpoint. Patients present with a myeloproliferative neoplasm, acute myeloid leukemia, lymphoblastic lymphoma/leukemia of T or B-cell lineage, or acute leukemia of mixed phenotype.;Malignant;
C84275;Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement;M/LN-eo with PDGFRA Rearrangement ;Hematologic neoplasms characterized by the rearrangement of the PDGFRA gene, most often resulting in the formation of FIP1L1-PDGFRA fusion transcripts. Patients usually present with chronic eosinophilic leukemia, and less often with acute myeloid leukemia or T-lymphoblastic leukemia.;Malignant;
C84276;Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement;M/LN-eo with PDGFRB Rearrangement ;Myeloid and rarely lymphoid neoplasms characterized by the rearrangement of the PDGFRB gene, most often resulting in the formation of ETV6-PDGFRB fusion transcripts. Patients usually present with chronic myelomonocytic leukemia and less often with atypical chronic myeloid leukemia, or chronic eosinophilic leukemia.;Malignant;
C4345;Myeloproliferative Neoplasm;Chronic Myeloproliferative Disorder ;"A group of myeloid neoplasms that includes the following: chronic myeloid leukemia, BCR-ABL1 positive; polycythemia vera; essential thrombocythemia;  primary myelofibrosis; chronic neutrophilic leukemia; chronic eosinophilic leukemia, not otherwise specified; and myeloproliferative neoplasm, unclassifiable.";Malignant;
C27350;Myeloproliferative Neoplasm, Not Otherwise Specified;Chronic Myeloproliferative Disease, Unclassifiable ;This subgroup of myeloproliferative neoplasms includes cases which do not meet the morphologic criteria of any of the defined myeloproliferative neoplasms, or which have characteristics that overlap at least two of the myeloproliferative neoplasms.;Malignant;
C3701;Myxoid Leiomyosarcoma;;A morphologic variant of leiomyosarcoma characterized by the presence of cellular pleomorphism, malignant cells with large nuclei, and a myxoid stroma.;Malignant;
C27781;Myxoid Liposarcoma;Myxoid Liposarcoma ;A liposarcoma characterized by the presence of round non-lipogenic primitive mesenchymal cells and small signet ring lipoblasts within a myxoid stoma with a branching vascular pattern.  This category includes hypercellular lesions with round cell morphology, formerly known as round cell liposarcoma.;Malignant;
